-- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
-- Found ament_lint_auto: 0.12.11 (/opt/ros/humble/share/ament_lint_auto/cmake)
-- Added test 'flake8' to check Python code syntax and style conventions
-- Added test 'lint_cmake' to check CMake code style
-- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
-- Added test 'xmllint' to check XML markup files
-- Configuring done
-- Generating done
-- Build files have been written to: /root/gym_ros_envs/build/my_gazebo_simulation
-- Install configuration: ""
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/launch
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/launch/my_custom_world.launch.py
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/worlds
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/lib/my_gazebo_simulation
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/lib/my_gazebo_simulation/custom_turtlebot_env.py
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/lib/my_gazebo_simulation/train_trpo_turtlebot.py
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/ament_index/resource_index/package_run_dependencies/my_gazebo_simulation
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/share/ament_index/resource_index/parent_prefix_path/my_gazebo_simulation
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/environment/ament_prefix_path.sh
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/environment/ament_prefix_path.dsv
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/environment/path.sh
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/environment/path.dsv
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/local_setup.bash
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/local_setup.sh
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/local_setup.zsh
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/local_setup.dsv
-- Installing: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/package.dsv
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/ament_index/resource_index/packages/my_gazebo_simulation
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/cmake/my_gazebo_simulationConfig.cmake
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/cmake/my_gazebo_simulationConfig-version.cmake
-- Up-to-date: /root/gym_ros_envs/install/my_gazebo_simulation/share/my_gazebo_simulation/package.xml
